epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5608.05,0.70583,0.42186,1.00666,0.91071,0.81854,0.90311,0.52091,1.57169,0.84401,1.92059,0.0002378,0.0002378,0.0002378
91,5684.98,0.66231,0.35267,0.99118,0.91996,0.79073,0.89415,0.51145,1.56309,0.8442,1.90867,0.000218,0.000218,0.000218
92,5740.01,0.63699,0.33715,0.97412,0.89095,0.81455,0.89447,0.51515,1.56941,0.83699,1.91469,0.0001982,0.0001982,0.0001982
93,5807.94,0.61208,0.32076,0.97231,0.92146,0.79761,0.90466,0.52418,1.56172,0.83017,1.90878,0.0001784,0.0001784,0.0001784
94,5856.16,0.60064,0.31775,0.96019,0.91335,0.79866,0.90206,0.52284,1.56619,0.85007,1.92217,0.0001586,0.0001586,0.0001586
95,5904.37,0.59281,0.32026,0.95178,0.90162,0.81157,0.90239,0.52383,1.56598,0.84365,1.9316,0.0001388,0.0001388,0.0001388
96,5976.58,0.59088,0.32023,0.95778,0.90395,0.7996,0.90096,0.52425,1.55737,0.84584,1.91737,0.000119,0.000119,0.000119
97,6061.22,0.5865,0.31204,0.95417,0.90258,0.80359,0.90043,0.52275,1.57051,0.85922,1.93492,9.92e-05,9.92e-05,9.92e-05
98,6108.75,0.57415,0.30888,0.95131,0.91509,0.79509,0.90017,0.52419,1.56212,0.86285,1.92686,7.94e-05,7.94e-05,7.94e-05
99,6156.66,0.56617,0.30657,0.939,0.90822,0.80359,0.89992,0.52848,1.55693,0.8641,1.91671,5.96e-05,5.96e-05,5.96e-05
100,6211.41,0.55996,0.29722,0.94338,0.89949,0.81854,0.90156,0.52622,1.56593,0.8514,1.93383,3.98e-05,3.98e-05,3.98e-05
